IE_XML_ID;IE_NAME;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IP_PROP44;IP_PROP45;IP_PROP46;IC_GROUP0;IC_GROUP1;IC_GROUP2;CP_QUANTITY;CP_WEIGHT;CP_WIDTH;CP_HEIGHT;CP_LENGTH;CV_QUANTITY_FROM;CV_QUANTITY_TO;CV_PRICE_1;CV_CURRENCY_1
a7cf7aef-60fb-11e4-9420-0014d111070f;М/З Салатник квадратный 16см 1шт;М/З Салатник квадратный 16см 1шт;;22153;8;;Распродажа;;;1;0;0;0;0;;;280.00;RUB
ec713186-60fb-11e4-9420-0014d111070f;М/З Овальное блюдо 32см 1шт;М/З Овальное блюдо 32см 1шт;;22156;1734;;Распродажа;;;1;0;0;0;0;;;490.00;RUB
064f7581-60fc-11e4-9420-0014d111070f;М/З Селедочница 26см 1шт;М/З Селедочница 26см 1шт;;22157;1069;;Распродажа;;;1;0;0;0;0;;;280.00;RUB
ebef5f75-60fc-11e4-9420-0014d111070f;М/З Фруктовница Барбарина 24см 1шт;М/З Фруктовница Барбарина 24см 1шт;;22165;1233;;Распродажа;;;2;0;0;0;0;;;1120.00;RUB
3d52fdcc-60fd-11e4-9420-0014d111070f;М/З Кабаретница 19см 1шт;М/З Кабаретница 19см 1шт;;22169;1717;;Распродажа;;;1;0;0;0;0;;;350.00;RUB
722f8cee-60fd-11e4-9420-0014d111070f;М/З Набор тарелок 25см 6шт Золотые вензеля Слоновая кость;М/З Набор тарелок 25см 6шт Золотые вензеля Слоновая кость;;22171;273;;Чехия;Фарфор;МЗ Старорольский фарфор;2;0;0;0;0;;;7300.00;RUB
81a16402-60fd-11e4-9420-0014d111070f;М/З Набор тарелок 19см 6шт Золотые вензеля Слоновая кость;М/З Набор тарелок 19см 6шт Золотые вензеля Слоновая кость;;22172;895;;Чехия;Фарфор;МЗ Старорольский фарфор;1;0;0;0;0;;;5200.00;RUB
b8827f06-60fd-11e4-9420-0014d111070f;М/З Набор салатников 19см 6шт Золотые вензеля Слоновая кость;М/З Набор салатников 19см 6шт Золотые вензеля Слоновая кость;;22175;891;;Чехия;Фарфор;МЗ Старорольский фарфор;1;0;0;0;0;;;6390.00;RUB
d72b96fd-6100-11e4-9420-0014d111070f;М/З Фруктовница н/н Барбарина 24см 1шт Золотые вензеля Слоновая кость;М/З Фруктовница н/н Барбарина 24см 1шт Золотые вензеля Слоновая кость;;22176;57;;Распродажа;;;2;0;0;0;0;;;2660.00;RUB
f0c73451-6100-11e4-9420-0014d111070f;М/З Салатник квадратный 16см 1шт Золотые вензеля Слоновая кость;М/З Салатник квадратный 16см 1шт Золотые вензеля Слоновая кость;;22177;452;;Чехия;Фарфор;МЗ Старорольский фарфор;1;0;0;0;0;;;1990.00;RUB
