IE_XML_ID;IE_NAME;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IP_PROP44;IP_PROP45;IP_PROP46;IC_GROUP0;IC_GROUP1;IC_GROUP2;CP_QUANTITY;CP_WEIGHT;CP_WIDTH;CP_HEIGHT;CP_LENGTH;CV_QUANTITY_FROM;CV_QUANTITY_TO;CV_PRICE_1;CV_CURRENCY_1
8305028025359156385;Набор тарелок 17см 6шт;Набор тарелок 17см 6шт;;23723;;;;;;1;;;;;;;;
4150314670954463662;Набор тарелок 24см 6шт;Набор тарелок 24см 6шт;;23724;;;;;;1;;;;;;;;
3121895295000073205;Сервиз столовый на 6 персон 30 предметов;Сервиз столовый на 6 персон 30 предметов;;23726;;;;;;1;;;;;;;;
8075430874006225054;Сервиз чайный на 6 персон 31 предметов;Сервиз чайный на 6 персон 31 предметов;;23775;;;;;;1;;;;;;;;
305578599747458543;Фруктовница "Барбарина" 31см;Фруктовница "Барбарина" 31см;;23728;;;;;;1;;;;;;;;
6324555090183808025;Кабаретница 25см;Кабаретница 25см;;10186;;;;;;6;;;;;;;;
4946953265102998013;Кабаретница 31см;Кабаретница 31см;;03494;;;;;;2;;;;;;;;
7275185529068500397;Конфетница 3х ярусная Илза 31см;Конфетница 3х ярусная Илза 31см;;09376;;;;;;2;;;;;;;;
1859082919777568225;Рулетница на ножке 36см;Рулетница на ножке 36см;;06393;;;;;;1;;;;;;;;
2478080422937634667;Фруктовница Барбарина 27см;Фруктовница Барбарина 27см;;07618;;;;;;4;;;;;;;;
6286030390945069021;Фруктовница Барбарина 31см;Фруктовница Барбарина 31см;;09373;;;;;;6;;;;;;;;
3121895295000073205;Сервиз столовый на 6 персон 30 предметов;Сервиз столовый на 6 персон 30 предметов;;06841;;;;;;1;;;;;;;;
6324555090183808025;Кабаретница 25см;Кабаретница 25см;;03477;;;;;;1;;;;;;;;
3121895295000073205;Сервиз столовый на 6 персон 30 предметов;Сервиз столовый на 6 персон 30 предметов;;06840;;;;;;2;;;;;;;;
748226525185705156;Сервиз чайный на 6 персон 31 предмет;Сервиз чайный на 6 персон 31 предмет;;06946;;;;;;1;;;;;;;;
2991298390939241030;Фруктовница 3-х ярусная "Илза";Фруктовница 3-х ярусная "Илза";;09377;;;;;;3;;;;;;;;
6324555090183808025;Кабаретница 25см;Кабаретница 25см;;03472;;;;;;9;;;;;;;;
611053290269151653;Салатник квадратный на ножке 26см;Салатник квадратный на ножке 26см;;06601;;;;;;12;;;;;;;;
85248891194390664;Фруктовница 3х ярусная "Илза";Фруктовница 3х ярусная "Илза";;07816;;;;;;3;;;;;;;;
5351673886422544871;Кабаретница 25см.;Кабаретница 25см.;;03476;;;;;;2;;;;;;;;
6583846366905614287;Кабаретница 31см.;Кабаретница 31см.;;03490;;;;;;12;;;;;;;;
1489278930108046842;Конфетница 3х ярусная "Ютта" 19/25/31см;Конфетница 3х ярусная "Ютта" 19/25/31см;;03932;;;;;;1;;;;;;;;
7535210418422193924;Овальное блюдо 32см;Овальное блюдо 32см;;06036;;;;;;2;;;;;;;;
1656385713167744511;Рулетница на ножке 36см.;Рулетница на ножке 36см.;;06401;;;;;;1;;;;;;;;
3911362690170699917;Сервиз чайный на 12 персон 55 предметов;Сервиз чайный на 12 персон 55 предметов;;06915;;;;;;1;;;;;;;;
7255642554218664396;Фруктовница 31см "Ютта";Фруктовница 31см "Ютта";;07783;;;;;;5;;;;;;;;
85248891194390664;Фруктовница 3х ярусная "Илза";Фруктовница 3х ярусная "Илза";;07815;;;;;;3;;;;;;;;
3874416639030946584;Чайник низкий 1\,20л;Чайник низкий 1\,20л;;08204;;;;;;3;;;;;;;;
6613245648939082042;Конфетница 3х ярусная Илзе;Конфетница 3х ярусная Илзе;;24532;;;;;;1;;;;;;;;
611053290269151653;Салатник квадратный на ножке 26см;Салатник квадратный на ножке 26см;;06598;;;;;;1;;;;;;;;
6053183612649489957;Фруктовница "Барбарина" 27см;Фруктовница "Барбарина" 27см;;07616;;;;;;2;;;;;;;;
305578599747458543;Фруктовница "Барбарина" 31см;Фруктовница "Барбарина" 31см;;07632;;;;;;17;;;;;;;;
6280130216439343897;Чашка 0\,21мл 866дек;Чашка 0\,21мл 866дек;;08428;;;;;;5;;;;;;;;
9222528335975740581;Ладья маленькая ажурная 20см;Ладья маленькая ажурная 20см;;04263;;;;;;2;;;;;;;;
4080509175427119549;Сервиз столовый на 12персон 49 предметов (Smaragd);Сервиз столовый на 12персон 49 предметов (Smaragd);;06837;;;;;;1;;;;;;;;
3312475935106749817;Сервиз чайный на 12персон 55 предметов (Smaragd);Сервиз чайный на 12персон 55 предметов (Smaragd);;06919;;;;;;1;;;;;;;;
2709576285587129124;Набор чайных пар 0\,21мл (Rubin) 6шт;Набор чайных пар 0\,21мл (Rubin) 6шт;;05780;;;;;;1;;;;;;;;
7893307892972911800;Сервиз столовый на 12персон 49 предметов (Rubin);Сервиз столовый на 12персон 49 предметов (Rubin);;09961;;;;;;1;;;;;;;;
6292386118172078948;Фруктовница "Барбарина" 27см (Rubin);Фруктовница "Барбарина" 27см (Rubin);;07620;;;;;;1;;;;;;;;
5829385993113410990;Сервиз столовый на 6 пер 30 предметов;Сервиз столовый на 6 пер 30 предметов;;06838;;;;;;1;;;;;;;;
748226525185705156;Сервиз чайный на 6 персон 31 предмет;Сервиз чайный на 6 персон 31 предмет;;06942;;;;;;1;;;;;;;;
4849145331405254182;Набор стопок под водку с каймой 0-31;Набор стопок под водку с каймой 0-31;;13840;;;;;;1;;;;;;;;
4635525880807251914;Сервиз столовый 6пер 26пр;Сервиз столовый 6пер 26пр;;35310;;;;;;1;;;;;;;;
3191856627143148228;Сервиз чайный 6пер 9пр;Сервиз чайный 6пер 9пр;;35284;;;;;;1;;;;;;;;
8422180832116442178;Набор чайных пар 6шт;Набор чайных пар 6шт;;33006;;;;;;1;;;;;;;;
4635525880807251914;Сервиз столовый 6пер 26пр;Сервиз столовый 6пер 26пр;;30593;;;;;;1;;;;;;;;
2966315071946563000;Сервиз чайный 6пер 17пр;Сервиз чайный 6пер 17пр;;30594;;;;;;1;;;;;;;;
7098509830626907615;Набор розеток 11см 6шт;Набор розеток 11см 6шт;;33099;;;;;;1;;;;;;;;
5403203314142865251;Набор салатников 19см 6шт;Набор салатников 19см 6шт;;33098;;;;;;2;;;;;;;;
7139339785230479707;Набор тарелок 18пр;Набор тарелок 18пр;;33096;;;;;;1;;;;;;;;
3037866741510743776;Набор тарелок 27см 6шт;Набор тарелок 27см 6шт;;26245;;;;;;1;;;;;;;;
4185925808540092815;Набор чайных пар 155мл 6шт;Набор чайных пар 155мл 6шт;;26249;;;;;;1;;;;;;;;
4635525880807251914;Сервиз столовый 6пер 26пр;Сервиз столовый 6пер 26пр;;26246;;;;;;3;;;;;;;;
3191856627143148228;Сервиз чайный 6пер 9пр;Сервиз чайный 6пер 9пр;;26247;;;;;;3;;;;;;;;
2584206907443011278;Конфетница 3-х ярусная 1шт;Конфетница 3-х ярусная 1шт;;36429;;;;;;2;;;;;;;;
3795372325320022731;Круглое блюдо 30см 1шт;Круглое блюдо 30см 1шт;;36431;;;;;;2;;;;;;;;
7098509830626907615;Набор розеток 11см 6шт;Набор розеток 11см 6шт;;33107;;;;;;6;;;;;;;;
5403203314142865251;Набор салатников 19см 6шт;Набор салатников 19см 6шт;;33106;;;;;;1;;;;;;;;
8305028025359156385;Набор тарелок 17см 6шт;Набор тарелок 17см 6шт;;33105;;;;;;3;;;;;;;;
7139339785230479707;Набор тарелок 18пр;Набор тарелок 18пр;;33102;;;;;;2;;;;;;;;
3690690218831427424;Набор тарелок 21см 6шт;Набор тарелок 21см 6шт;;33104;;;;;;2;;;;;;;;
3037866741510743776;Набор тарелок 27см 6шт;Набор тарелок 27см 6шт;;34537;;;;;;2;;;;;;;;
4185925808540092815;Набор чайных пар 155мл 6шт;Набор чайных пар 155мл 6шт;;33103;;;;;;4;;;;;;;;
6232728467397686565;Поднос овальный 25см 1шт;Поднос овальный 25см 1шт;;36430;;;;;;2;;;;;;;;
2781138375130775622;Сервиз столовый 6пер 25пр;Сервиз столовый 6пер 25пр;;36428;;;;;;1;;;;;;;;
4635525880807251914;Сервиз столовый 6пер 26пр;Сервиз столовый 6пер 26пр;;30590;;;;;;3;;;;;;;;
7603241776831796063;Сервиз чайный 6пер 15пр;Сервиз чайный 6пер 15пр;;30591;;;;;;4;;;;;;;;
8864988011352138917;Набор розеток 10см 6шт;Набор розеток 10см 6шт;;30599;;;;;;2;;;;;;;;
7139339785230479707;Набор тарелок 18пр;Набор тарелок 18пр;;36432;;;;;;1;;;;;;;;
5432496919241636352;Набор чайных пар 155см 6шт;Набор чайных пар 155см 6шт;;34538;;;;;;1;;;;;;;;
1330302275156829102;Сервиз столовый 6пер 27пр;Сервиз столовый 6пер 27пр;;30597;;;;;;2;;;;;;;;
2966315071946563000;Сервиз чайный 6пер 17пр;Сервиз чайный 6пер 17пр;;30598;;;;;;2;;;;;;;;
2830407971420208753;Горка 3 яруса;Горка 3 яруса;;24967;;;;;;1;;;;;;;;
5403203314142865251;Набор салатников 19см 6шт;Набор салатников 19см 6шт;;24966;;;;;;1;;;;;;;;
3690690218831427424;Набор тарелок 21см 6шт;Набор тарелок 21см 6шт;;19993;;;;;;1;;;;;;;;
4185925808540092815;Набор чайных пар 155мл 6шт;Набор чайных пар 155мл 6шт;;13109;;;;;;3;;;;;;;;
4635525880807251914;Сервиз столовый 6пер 26пр;Сервиз столовый 6пер 26пр;;12560;;;;;;1;;;;;;;;
2966315071946563000;Сервиз чайный 6пер 17пр;Сервиз чайный 6пер 17пр;;12559;;;;;;1;;;;;;;;
7098509830626907615;Набор розеток 11см 6шт;Набор розеток 11см 6шт;;33111;;;;;;1;;;;;;;;
5403203314142865251;Набор салатников 19см 6шт;Набор салатников 19см 6шт;;33110;;;;;;1;;;;;;;;
8305028025359156385;Набор тарелок 17см 6шт;Набор тарелок 17см 6шт;;33109;;;;;;1;;;;;;;;
7139339785230479707;Набор тарелок 18пр;Набор тарелок 18пр;;33108;;;;;;1;;;;;;;;
6420249979480671840;Набор тарелок 20см 6шт;Набор тарелок 20см 6шт;;26267;;;;;;1;;;;;;;;
3037866741510743776;Набор тарелок 27см 6шт;Набор тарелок 27см 6шт;;26268;;;;;;1;;;;;;;;
4185925808540092815;Набор чайных пар 155мл 6шт;Набор чайных пар 155мл 6шт;;26272;;;;;;2;;;;;;;;
4635525880807251914;Сервиз столовый 6пер 26пр;Сервиз столовый 6пер 26пр;;26269;;;;;;2;;;;;;;;
7603241776831796063;Сервиз чайный 6пер 15пр;Сервиз чайный 6пер 15пр;;26270;;;;;;2;;;;;;;;
8304688616358560812;Конфетница 3-х ярусная ;Конфетница 3-х ярусная ;;19619;;;;;;1;;;;;;;;
7098509830626907615;Набор розеток 11см 6шт;Набор розеток 11см 6шт;;33101;;;;;;2;;;;;;;;
5403203314142865251;Набор салатников 19см 6шт;Набор салатников 19см 6шт;;19637;;;;;;2;;;;;;;;
7139339785230479707;Набор тарелок 18пр;Набор тарелок 18пр;;33100;;;;;;1;;;;;;;;
2584206907443011278;Конфетница 3-х ярусная 1шт;Конфетница 3-х ярусная 1шт;;36423;;;;;;1;;;;;;;;
5999202811250824200;Круглое блюдо 32см 1шт;Круглое блюдо 32см 1шт;;36425;;;;;;1;;;;;;;;
7098509830626907615;Набор розеток 11см 6шт;Набор розеток 11см 6шт;;34535;;;;;;3;;;;;;;;
7139339785230479707;Набор тарелок 18пр;Набор тарелок 18пр;;34534;;;;;;2;;;;;;;;
6420249979480671840;Набор тарелок 20см 6шт;Набор тарелок 20см 6шт;;36427;;;;;;1;;;;;;;;
3037866741510743776;Набор тарелок 27см 6шт;Набор тарелок 27см 6шт;;36426;;;;;;1;;;;;;;;
4185925808540092815;Набор чайных пар 155мл 6шт;Набор чайных пар 155мл 6шт;;34536;;;;;;2;;;;;;;;
4914825755801886188;Поднос овальный 24см 1шт;Поднос овальный 24см 1шт;;36424;;;;;;1;;;;;;;;
135930677445815924;Сервиз столовый 6пер 27пр ;Сервиз столовый 6пер 27пр ;;12558;;;;;;3;;;;;;;;
5146903455590351865;Сервиз чайный 6пер 17пр ;Сервиз чайный 6пер 17пр ;;12610;;;;;;3;;;;;;;;
431168551812919964;Тортница 32см н/н 1шт;Тортница 32см н/н 1шт;;35312;;;;;;1;;;;;;;;
7098509830626907615;Набор розеток 11см 6шт;Набор розеток 11см 6шт;;33095;;;;;;1;;;;;;;;
4185925808540092815;Набор чайных пар 155мл 6шт;Набор чайных пар 155мл 6шт;;22352;;;;;;5;;;;;;;;
1166033707189946268;Горка 3-х ярусная;Горка 3-х ярусная;;26239;;;;;;2;;;;;;;;
3373569995970745624;Набор розеток 10см 6шт ;Набор розеток 10см 6шт ;;35308;;;;;;1;;;;;;;;
4185925808540092815;Набор чайных пар 155мл 6шт;Набор чайных пар 155мл 6шт;;26240;;;;;;1;;;;;;;;
4635525880807251914;Сервиз столовый 6пер 26пр;Сервиз столовый 6пер 26пр;;26237;;;;;;1;;;;;;;;
7603241776831796063;Сервиз чайный 6пер 15пр;Сервиз чайный 6пер 15пр;;26238;;;;;;1;;;;;;;;
6705140660040863879;Сервиз столовый 6пер 25пр (без супника);Сервиз столовый 6пер 25пр (без супника);;36436;;;;;;1;;;;;;;;
4635525880807251914;Сервиз столовый 6пер 26пр;Сервиз столовый 6пер 26пр;;36435;;;;;;1;;;;;;;;
7603241776831796063;Сервиз чайный 6пер 15пр;Сервиз чайный 6пер 15пр;;36437;;;;;;2;;;;;;;;
7098509830626907615;Набор розеток 11см 6шт;Набор розеток 11см 6шт;;33085;;;;;;3;;;;;;;;
